Date,neerslag,verdamping,kwel,wegzijging,maalstaat,uitlaat,verhard,uitspoeling,intrek,afstroming,drain
2010-09-21,0.0,-941.0994152046784,25.56713426,-59.86798195,3000.0,-664.9629380436385,-0.0,164.03264098593067,-1523.669440047614,0.0,0
2010-09-22,0.0,-1352.8304093567253,25.56713426,-59.86798195,3000.0,-285.40765239650455,-0.0,164.0924168873376,-1491.5535074441075,0.0,0
2010-09-23,5029.0,-647.0058479532164,25.56713426,-59.86798195,3000.0,-6068.296852388751,-0.0,171.34879519860385,-1450.7452471666365,0.0,0
2010-09-24,150.86999999999998,-999.9181286549707,25.56713426,-59.86798195,3000.0,-759.8134428418324,-0.0,165.53225567874347,-1522.36983649194,0.0,0
2010-09-25,905.2200000000001,-941.0994152046784,25.56713426,-59.86798195,3000.0,-1604.4142960422,-0.0,166.47101011086912,-1491.8764511739907,0.0,0
2010-09-26,100.58,-823.4619883040936,25.56713426,-59.86798195,3000.0,-931.6425111464677,-0.0,166.2869490997822,-1477.4616019592208,0.0,0
2010-09-27,4727.26,-117.6374269005848,25.56713426,-59.86798195,3000.0,-6289.070648362621,-0.0,164.063414189804,-1450.3144912365988,0.0,0
2010-09-28,50.29,-235.2748538011696,25.56713426,-59.86798195,3000.0,-1402.6914786584512,-0.0,149.7149527708236,-1527.7377726212026,0.0,0
2010-09-29,1357.8300000000002,-1058.7368421052633,25.56713426,-59.86798195,3000.0,-1891.6529482565174,-0.0,138.85921749374123,-1511.9985794419608,0.0,0
2010-09-30,754.35,-294.093567251462,25.56713426,-59.86798195,3000.0,-2065.950997108394,-0.0,143.49421574436712,-1503.498803694511,0.0,0
2010-10-01,5330.74,-769.5139513951394,25.56713426,-59.86798195,3000.0,-6160.980105380255,-0.0,134.2894941699304,-1500.2345897045361,0.0,0
2010-10-02,653.7700000000001,-588.4518451845186,25.56713426,-59.86798195,3000.0,-1598.6960026613585,-0.0,138.35252475293737,-1570.6738292170605,0.0,0
2010-10-03,0.0,-905.3105310531054,25.56713426,-59.86798195,3000.0,-642.5358329500783,-0.0,137.89349227764365,-1555.7462805844602,0.0,0
2010-10-04,251.45000000000002,-497.92079207920796,25.56713426,-59.86798195,3000.0,-1344.5112825924857,-0.0,144.68294304987927,-1519.4000206881854,0.0,0
2010-10-05,251.45000000000002,-588.4518451845186,25.56713426,-59.86798195,3000.0,-1270.3956497294994,-0.0,141.53298874489133,-1499.8346461408735,0.0,0
2010-10-06,804.64,-226.32763276327634,25.56713426,-59.86798195,3000.0,-2206.877786078091,-0.0,140.7559098704022,-1477.8896433390348,0.0,0
2010-10-07,0.0,-588.4518451845186,25.56713426,-59.86798195,3000.0,-1031.984069193629,-0.0,131.825018883362,-1477.0882568152147,0.0,0
2010-10-08,0.0,-316.85868586858686,25.56713426,-59.86798195,3000.0,-1330.3171392798067,-0.0,132.0187369950258,-1450.5420641566325,0.0,0
2010-10-09,0.0,-814.7794779477949,25.56713426,-59.86798195,3000.0,-844.951938233092,-0.0,126.0194432955232,-1431.987179424636,0.0,0
2010-10-10,0.0,-814.7794779477949,25.56713426,-59.86798195,3000.0,-883.4043007882165,-0.0,131.9384189659709,-1399.4537925399597,0.0,0
2010-10-11,0.0,-814.7794779477949,25.56713426,-59.86798195,3000.0,-920.9394319074486,-0.0,137.26549706937382,-1367.2457395241302,0.0,0
2010-10-12,0.0,-543.1863186318631,25.56713426,-59.86798195,3000.0,-1229.2129340021145,-0.0,142.05986736243642,-1335.3597670384588,0.0,0
2010-10-13,0.0,-226.32763276327634,25.56713426,-59.86798195,3000.0,-1568.0541798952725,-0.0,140.20116062619277,-1311.5185002776443,0.0,0
2010-10-14,0.0,-226.32763276327634,25.56713426,-59.86798195,3000.0,-1573.7681309258592,-0.0,131.3257445635735,-1296.929133184438,0.0,0
2010-10-15,6336.54,-181.06210621062107,25.56713426,-59.86798195,3000.0,-7962.029256444432,-0.0,123.33787010721615,-1282.4856597621633,0.0,0
2010-10-16,50.29,-362.12421242124213,25.56713426,-59.86798195,3000.0,-1377.8284464111407,-0.0,115.11984309649452,-1391.1563365741117,0.0,0
2010-10-17,0.0,-588.4518451845186,25.56713426,-59.86798195,3000.0,-1116.213287044386,-0.0,111.83937878684507,-1372.8733988679405,0.0,0
2010-10-18,10460.320000000002,-362.12421242124213,25.56713426,-59.86798195,3000.0,-11830.55724600809,-0.0,114.03166090816056,-1347.3693547888313,0.0,0
2010-10-19,8901.33,-362.12421242124213,25.56713426,-59.86798195,3000.0,-10086.334402555589,-0.0,110.86001481734452,-1529.430552150513,0.0,0
2010-10-20,6990.31,-362.12421242124213,25.56713426,-59.86798195,3000.0,-8022.156988935791,-0.0,108.00553333561005,-1679.7334842885775,0.0,0
2010-10-21,100.58,-543.1863186318631,25.56713426,-59.86798195,3000.0,-836.6937150749241,-0.0,105.43650000204906,-1791.835618605262,0.0,0
2010-10-22,0.0,-316.85868586858686,25.56713426,-59.86798195,3000.0,-990.719541614478,-0.0,107.24013000184415,-1765.3610548287793,0.0,0
2010-10-23,6940.02,-90.53105310531053,25.56713426,-59.86798195,3000.0,-8175.248816016289,-0.0,103.7186970016597,-1743.6579801900616,0.0,0
2010-10-24,1257.25,-452.6552655265527,25.56713426,-59.86798195,3000.0,-2003.8176092872104,-0.0,95.40470730149374,-1861.880984797731,0.0,0
2010-10-25,0.0,-452.6552655265527,25.56713426,-59.86798195,3000.0,-749.7044667454679,-0.0,96.15363657134436,-1859.4930566093237,0.0,0
2010-10-26,2313.34,-181.06210621062107,25.56713426,-59.86798195,3000.0,-3361.818980060789,-0.0,96.82767291420993,-1832.9857389528004,0.0,0
2010-10-27,3419.72,-90.53105310531053,25.56713426,-59.86798195,3000.0,-4527.255809854637,-0.0,91.26066562278893,-1858.8929549728423,0.0,0
2010-10-28,100.58,-181.06210621062107,25.56713426,-59.86798195,3000.0,-1061.047067827205,-0.0,84.19247906051004,-1908.362457332684,0.0,0
2010-10-29,100.58,-271.59315931593153,25.56713426,-59.86798195,3000.0,-983.5512309796005,-0.0,79.88899115445903,-1891.0237531689272,0.0,0
2010-10-30,452.61000000000007,-271.59315931593153,25.56713426,-59.86798195,3000.0,-1353.5065709862743,-0.0,78.07373203901312,-1871.2831540468078,0.0,0
2010-10-31,201.16,-135.79657965796576,25.56713426,-59.86798195,3000.0,-1249.0024953212364,-0.0,76.43999883511181,-1858.5000761659098,0.0,0
2010-11-01,50.29,-105.57732680195939,25.56713426,-59.86798195,3000.0,-1137.4155461458208,-0.0,71.88281895160063,-1844.8790983138206,0.0,0
2010-11-02,1005.8000000000001,-70.38488453463961,25.56713426,-59.86798195,3000.0,-2140.3984868415487,-0.0,67.78135705644056,-1828.4971379902524,0.0,0
2010-11-03,1307.5400000000002,-246.3470958712386,25.56713426,-59.86798195,3000.0,-2258.0376352696385,-0.0,63.06110135079651,-1831.91552251992,0.0,0
2010-11-04,352.03,-105.57732680195939,25.56713426,-59.86798195,3000.0,-1441.453494019467,-0.0,63.95757121571685,-1834.6559027042906,0.0,0
2010-11-05,10611.19,-105.57732680195939,25.56713426,-59.86798195,3000.0,-11707.789900765369,-0.0,60.648634094145166,-1824.1705588368177,0.0,0
2010-11-06,1307.5400000000002,-140.76976906927922,25.56713426,-59.86798195,3000.0,-2179.340832517432,-0.0,57.670590684730655,-2010.7991414080198,0.0,0
2010-11-07,100.58,-140.76976906927922,25.56713426,-59.86798195,3000.0,-965.9150664534689,-0.0,56.01929161625758,-2015.6136084035097,0.0,0
